,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2019-05-07,724.5499877929688,0.9976,0.012,0.863,0.125,720.4000244140625,727.9000244140625,718.7000122070312,5747536.0
2019-05-08,719.3499755859375,0.9969,0.016,0.892,0.092,721.0,726.0,716.5,6247642.0
2019-05-09,721.0499877929688,0.9923,0.015,0.904,0.081,719.1500244140625,730.2999877929688,715.7999877929688,7396525.0
2019-05-10,716.8499755859375,0.9897,0.009,0.845,0.146,720.7999877929688,726.0,715.0,8352335.0
2019-05-13,719.7000122070312,-0.9965,0.112,0.855,0.033,716.5499877929688,726.4500122070312,712.0999755859375,6808993.0
2019-05-14,713.8499755859375,0.9938,0.046,0.844,0.11,716.5,717.75,703.5999755859375,10513001.0
2019-05-15,716.0999755859375,0.946,0.085,0.776,0.138,714.9000244140625,725.2000122070312,712.5999755859375,6668929.0
2019-05-16,733.0999755859375,0.9986,0.011,0.809,0.18,720.0,737.0,719.0999755859375,6468556.0
2019-05-17,723.9000244140625,0.9992,0.007,0.81,0.182,733.1500244140625,735.7999877929688,720.0999755859375,8155948.0
2019-05-20,722.4000244140625,0.992,0.056,0.817,0.126,719.7000122070312,726.4000244140625,706.0,11213708.0
2019-05-21,709.2999877929688,0.9959,0.021,0.88,0.098,722.6500244140625,722.6500244140625,707.7000122070312,8645535.0
2019-05-22,709.75,0.9841,0.03,0.872,0.098,710.0,718.25,707.0,5795713.0
2019-05-23,701.0499877929688,0.9928,0.025,0.849,0.127,715.0,716.7000122070312,697.4500122070312,7233736.0
2019-05-24,709.2000122070312,0.9898,0.025,0.892,0.083,703.7999877929688,711.75,700.4500122070312,7016424.0
2019-05-27,708.0999755859375,0.9494,0.032,0.894,0.074,707.4000244140625,713.7999877929688,705.5,10247544.0
2019-05-28,728.0999755859375,0.9955,0.039,0.838,0.124,712.0,733.4500122070312,709.7999877929688,23860490.0
2019-05-29,727.7999877929688,0.9892,0.028,0.871,0.101,725.5,733.6500244140625,723.6500244140625,10293077.0
2019-05-30,733.5499877929688,0.995,0.008,0.898,0.094,727.0,737.25,722.5499877929688,15089296.0
2019-05-31,737.75,0.9922,0.011,0.878,0.112,736.5,742.9500122070312,733.2000122070312,8290306.0
2019-06-03,744.6500244140625,0.989,0.012,0.831,0.158,729.7999877929688,750.9000244140625,729.0,7744761.0
2019-06-04,735.2999877929688,0.9958,0.019,0.881,0.1,737.25,739.4500122070312,733.1500244140625,11733702.0
2019-06-06,735.5999755859375,0.9985,0.017,0.877,0.106,736.5,744.6500244140625,733.6500244140625,7563925.0
2019-06-07,739.0999755859375,0.9932,0.018,0.911,0.071,735.8499755859375,743.9500122070312,735.8499755859375,3218358.0
2019-06-10,753.5,0.9961,0.021,0.875,0.103,740.0999755859375,754.0999755859375,740.0999755859375,4435148.0
2019-06-11,754.9000244140625,0.9957,0.012,0.868,0.12,755.0,759.0,750.5,5733127.0
2019-06-12,753.7999877929688,0.9617,0.043,0.872,0.085,756.9500122070312,756.9500122070312,745.0,8738342.0
2019-06-13,742.6500244140625,0.9941,0.031,0.878,0.091,740.0,747.2000122070312,740.0,4808577.0
2019-06-14,740.4500122070312,0.9939,0.017,0.904,0.08,743.8499755859375,745.5,738.25,5556353.0
2019-06-17,740.5499877929688,0.99,0.053,0.841,0.106,743.0,744.5,737.7999877929688,3085588.0
2019-06-18,750.1500244140625,0.992,0.032,0.834,0.133,740.2000122070312,752.4500122070312,740.2000122070312,6202838.0
2019-06-19,751.9000244140625,0.9958,0.014,0.859,0.128,752.5,755.4000244140625,748.5999755859375,4596253.0
2019-06-20,754.9000244140625,0.9972,0.023,0.869,0.108,737.7999877929688,756.9000244140625,735.9000244140625,7148684.0
2019-06-21,750.2000122070312,0.9712,0.035,0.854,0.11,755.0,755.0,747.1500244140625,13200318.0
2019-06-24,745.5,0.9804,0.01,0.916,0.074,751.9000244140625,751.9000244140625,742.6500244140625,4758178.0
2019-06-25,748.0999755859375,0.9899,0.007,0.905,0.088,744.0,750.9000244140625,737.2999877929688,3677911.0
2019-06-26,739.2000122070312,0.9871,0.005,0.864,0.131,743.0,751.4500122070312,738.0,5447130.0
2019-06-27,730.5499877929688,0.9858,0.036,0.871,0.093,742.0,744.7000122070312,728.1500244140625,11122346.0
2019-06-28,732.0,0.8585,0.054,0.876,0.07,735.5,739.5,728.5,5919494.0
2019-07-01,731.2999877929688,0.902,0.032,0.907,0.061,735.0,737.5,729.8499755859375,3224968.0
2019-07-02,740.0,0.8916,0.009,0.93,0.06,734.0,741.6500244140625,730.0999755859375,4837606.0
2019-07-03,731.2999877929688,0.9928,0.024,0.846,0.13,741.0,743.2000122070312,730.0,5958379.0
2019-07-04,733.7999877929688,0.9723,0.008,0.88,0.113,729.0,736.4000244140625,728.5999755859375,3274064.0
2019-07-05,718.0,0.9316,0.026,0.894,0.08,735.0,736.4000244140625,713.5,4926289.0
2019-07-08,717.5999755859375,0.926,0.035,0.903,0.062,716.4500122070312,724.9500122070312,712.2999877929688,7177092.0
2019-07-09,715.5,0.9898,0.004,0.875,0.121,718.0,719.8499755859375,709.0499877929688,5022638.0
2019-07-10,717.25,0.7739,0.042,0.89,0.068,709.0,722.7000122070312,706.5,7573816.0
2019-07-11,721.5,0.9989,0.021,0.792,0.187,719.4500122070312,723.5,709.5999755859375,6252688.0
2019-07-12,726.75,0.9999,0.011,0.853,0.136,722.5,730.5999755859375,719.5999755859375,7874441.0
2019-07-15,779.3499755859375,0.9998,0.018,0.843,0.139,763.0,781.6500244140625,754.2000122070312,31064152.0
2019-07-16,784.8499755859375,0.997,0.051,0.824,0.125,777.0,787.7999877929688,776.0,9924322.0
2019-07-17,794.1500244140625,0.9843,0.04,0.83,0.13,783.9000244140625,795.0,776.75,6754348.0
2019-07-18,792.7000122070312,0.9576,0.031,0.878,0.091,789.0499877929688,798.5,786.2000122070312,6534471.0
2019-07-19,785.4000244140625,0.9843,0.031,0.865,0.104,788.7000122070312,794.5,781.25,6812754.0
2019-07-22,784.4000244140625,0.9726,0.022,0.882,0.096,785.9500122070312,792.0,782.0499877929688,7107151.0
2019-07-23,790.0499877929688,0.9986,0.017,0.849,0.134,787.0,804.0,785.5499877929688,10782564.0
2019-07-24,786.2999877929688,0.992,0.012,0.868,0.12,788.0,793.75,783.5999755859375,5745146.0
2019-07-25,794.5,0.9898,0.006,0.918,0.077,788.25,800.2000122070312,787.6500244140625,9773568.0
2019-07-26,787.0,0.9822,0.013,0.908,0.079,792.2999877929688,795.0,782.2000122070312,4941763.0
2019-07-29,791.4500122070312,0.9944,0.0,0.885,0.115,789.5,796.9500122070312,786.2000122070312,6244316.0
2019-07-30,792.7000122070312,0.8831,0.021,0.924,0.055,791.9000244140625,797.7999877929688,788.5499877929688,8673253.0
2019-07-31,793.6500244140625,0.7824,0.053,0.875,0.072,790.8499755859375,799.7999877929688,781.5999755859375,7350584.0
2019-08-01,768.8499755859375,0.9903,0.027,0.842,0.131,786.4500122070312,788.4000244140625,764.4000244140625,10066407.0
2019-08-02,775.5999755859375,0.9874,0.031,0.858,0.111,765.0499877929688,779.9000244140625,762.25,10838336.0
2019-08-05,776.7000122070312,0.9935,0.018,0.864,0.117,772.5999755859375,785.9000244140625,768.6500244140625,9976238.0
2019-08-06,774.4500122070312,0.9888,0.031,0.853,0.116,778.7999877929688,783.7000122070312,769.7999877929688,9331718.0
2019-08-07,776.0999755859375,0.9861,0.01,0.882,0.107,778.9000244140625,783.4500122070312,772.3499755859375,5130457.0
2019-08-08,788.75,0.945,0.038,0.881,0.082,782.7000122070312,792.75,781.25,8009009.0
2019-08-09,789.8499755859375,0.9908,0.008,0.909,0.083,792.0,796.75,784.7999877929688,4362520.0
2019-08-13,764.75,-0.6705,0.08,0.864,0.056,784.1500244140625,786.0,760.1500244140625,7517099.0
2019-08-14,774.7999877929688,0.9807,0.019,0.895,0.086,775.0999755859375,778.25,768.0,5940968.0
2019-08-16,774.5499877929688,0.9712,0.02,0.903,0.077,780.0,780.0499877929688,762.5,5128088.0
2019-08-19,777.6500244140625,0.9909,0.027,0.867,0.105,775.5999755859375,783.0,773.3499755859375,3881451.0
2019-08-20,792.75,0.9931,0.021,0.892,0.087,785.2000122070312,798.0,783.8499755859375,8435344.0
